"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm"
"1015557762227585987","CityView 1BR Apartment with Supermarket downstairs","223468234","Slife","78","Kelvin Grove - Herston","-27.4541213","153.0141141","Entire home/apt","132","2","18","2024-05-31","2.56","22","75","18"
"1015560701513742963","Stunning River & Mountain View Studio w Pool & Gym","78924442","Lee And Bella","125","South Brisbane","-27.474676153540415","153.01421333240512","Entire home/apt","117","1","20","2024-05-10","3.06","228","323","20"
"1015656263171847437","Charming Room with Private Bath","485387749","Sam","150","Windsor","-27.426021568694814","153.02986650101514","Private room","93","1","39","2024-05-10","5.42","13","357","39"
"1015683648661907831","Sunny Private Room in Vibrant Neighbourhood","485387749","Sam","154","Wooloowin - Lutwyche","-27.42488645965303","153.028132261425","Private room","72","1","32","2024-05-12","4.53","13","358","32"
"1016308641137762389","Large Cosy Room with Garden Views","485387749","Sam","154","Wooloowin - Lutwyche","-27.42453","153.02762","Private room","76","1","36","2024-05-22","5","13","336","36"
"1016448839560312974","Resort Pad ~ 1Bed/1Bath/Balcony/1Car ~ 10 mins CBD","3384506","Andy","74","Kangaroo Point","-27.46941","153.03759","Entire home/apt","185","14","15","2024-05-20","2.13","105","336","15"
"1016843816471439355","Stylish Teneriffe Apt near River w Pool & Car Park","78924442","Lee And Bella","101","Newstead - Bowen Hills","-27.460017834383347","153.04827511467735","Entire home/apt","192","1","20","2024-05-03","2.86","228","331","20"
"1017436738408440421","aircon room close CBD & airport","57952431","Xinying","146","Wavell Heights","-27.394562042620795","153.0420100698692","Private room","48","3","6","2024-05-07","1.36","6","240","6"
"1017640134595196128","Heavenly Bed Luxe Position","119846816","Sallyanne","24","Bulimba","-27.4444568","153.0624027","Private room","122","1","47","2024-05-28","6.65","1","237","47"
"1017643280957598192","Spacious, suburban oasis with easy commuting","49209639","Harmony","142","Upper Kedron - Ferny Grove","-27.3974305","152.9276941","Entire home/apt","190","21","3","2024-04-26","0.45","1","184","3"
"1017981880720574980","Spectacular River View Apartment","154172599","Brett","21","Brisbane City","-27.4683603626966","153.01897434602333","Entire home/apt","339","2","13","2024-05-20","2.05","4","312","13"
"1018397382041043440","NEW! Long stay welcome. 2 Bedroom Boutique Home","160241246","Finespot","62","Greenslopes","-27.5039118","153.051567","Entire home/apt","226","1","6","2024-04-09","0.89","16","166","6"
"1018461980846621852","3 bedroom house with pool in quiet area","99153319","Evelin","148","Westlake","-27.54532479663747","152.92050634241917","Entire home/apt","250","2","11","2024-03-26","1.7","1","76","11"
"1018504155826030499","Stylish River View 2BR Apt w/ Pool, Gym & Car Park","78924442","Lee And Bella","74","Kangaroo Point","-27.47620133326819","153.03875270139972","Entire home/apt","222","1","22","2024-04-28","3.16","228","307","22"
"1019049948557910314","Bulimba oasis with private pool and amazing views","47212612","Jennifer","24","Bulimba","-27.448242663241913","153.06194546984187","Entire home/apt","350","2","3","2023-12-11","0.46","1","4","3"
"1019154614904652380","Two Bedroom Apartment In South Brisbane","489542412","Flyhomes","125","South Brisbane","-27.473078684690957","153.01462916367734","Entire home/apt","183","1","8","2024-06-02","1.19","3","52","8"
"1019164716161089964","Anville Court Royale","115855869","Lisa","63","Hamilton (Qld)","-27.43841337254249","153.0501785844974","Entire home/apt","213","1","5","2024-05-17","0.71","3","245","5"
"1019172021836575726","1Bed Apartment In South Brisbane","489542412","Flyhomes","125","South Brisbane","-27.47264713139308","153.01442481810636","Entire home/apt","139","1","8","2024-05-20","1.26","3","68","8"
"1019281053039571394","Sweet pony","544470540","Ponyfamily","132","Sunnybank Hills","-27.583612917651","153.05200843840322","Private room","62","1","17","2024-05-05","2.48","2","36","17"
"1019325991418452957","Kids family neighbourhood","19130106","Syed","109","Parkinson - Drewvale","-27.654867414097637","153.05588148094154","Private room","120","1","1","2023-11-14","0.14","1","270","1"
"1019450039741789951","Tranquil 2-Bed Inner City Retreat with Parking","279001183","MadeComfy","58","Fortitude Valley","-27.450600330846413","153.04018396935237","Entire home/apt","200","3","6","2024-04-20","0.9","93","365","6"
"1019479800946220240","100's of 5 star reviews & Well Presented! AC!","525145710","Smart-Suites","117","Rocklea - Acacia Ridge","-27.553023992576325","153.0158405247307","Entire home/apt","92","1","16","2024-04-04","2.29","66","161","16"
"1019765754770858668","Sunny 1b in heart of South Bris!","9885145","Ali","125","South Brisbane","-27.47249218479157","153.01537225683722","Entire home/apt","125","2","15","2024-05-27","2.15","3","350","15"
"1019799353687485534","Plant-Based Nature Reserve","92706614","Melisa","66","Highgate Hill","-27.48817305842317","153.01557424147086","Entire home/apt","130","1","16","2024-05-11","2.45","1","19","16"
"1019941201833419829","Riverfront Elegance! ~ 2Bed/2Bath/1Car ~ West End","3384506","Andy","147","West End","-27.482977088284567","152.99968751801285","Entire home/apt","349","14","19","2024-06-02","2.97","105","76","19"
"1020096106674681814","Sunnybank Hills Aircon Room","545354642","Wiler","132","Sunnybank Hills","-27.595578882667976","153.0623522241821","Private room","65","2","8","2024-04-06","1.17","1","337","8"
"1020114235614170333","Ensuite near airport","48561513","Sophie","105","Nundah","-27.40633","153.06615","Private room","110","1","6","2024-05-19","1.02","1","20","6"
"1016316786935107656","# City 1 Bedroom Apartment","29126659","Goldenfield Investment","126","Spring Hill","-27.462043","153.0257375","Entire home/apt","154","3","0",NULL,NULL,"10","69","0"
"1018445488502146967","Close to shops and transport","21554180","Diana","42","Coorparoo","-27.49215197706696","153.0619876355341","Entire home/apt","379","1","0",NULL,NULL,"1","270","0"
"1019734887902596300","Beazley House (SEQ) - 7 bedroom 4 bathroom","69434871","Cindy","18","Bridgeman Downs","-27.366830433885557","152.98650822984857","Entire home/apt","585","90","0",NULL,NULL,"9","232","0"
"1020507559599160140","3 bedroom Kevin Grove Townhouse!","545118414","Timmy","78","Kelvin Grove - Herston","-27.45435944100813","153.01658504898646","Entire home/apt","166","1","8","2024-03-25","1.48","4","341","8"
"1020549132155990150","Riverside Studio apartment with parking","539149260","Alessandra","99","New Farm","-27.4658619","153.0403074","Entire home/apt","163","1","17","2024-05-20","2.79","13","133","17"
"1020646000558478600","Brand New Micro Apartment for 2 (Lavender)","539943644","Priscilla","155","Wynnum","-27.438884120914103","153.16140000902888","Entire home/apt","105","2","16","2024-05-25","2.33","3","71","16"
"1021274425973132918","Luxe 3BR w/ City Views, Rooftop Pool & Car Park","78924442","Lee And Bella","58","Fortitude Valley","-27.45463","153.03249","Entire home/apt","266","1","23","2024-05-06","3.67","228","336","23"
"1021318093806080263","Spacious Valley Pad w Rooftop Pool, Parking & WiFi","78924442","Lee And Bella","58","Fortitude Valley","-27.45656","153.03221","Entire home/apt","273","1","18","2024-05-20","2.77","228","360","18"
"1021568500695428647","Location! Brisbane City Centre! Whole Apartment!","312147533","Jacky","21","Brisbane City","-27.4719022","153.0249499","Entire home/apt","173","1","22","2024-05-29","3.35","1","295","22"
