"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"925692798745457256","Neat and cozy private room","371664312","Kimberley",NULL,"Morningside - Seven Hills","-27.465304305323688","153.06812402225114","Private room",NULL,"1","2","2023-07-15","0.18","1","0","2",NULL
"926682064495689295","Brisbane Skytower - Executive Apt. in the Clouds","204163681","Young",NULL,"Brisbane City","-27.47281","153.02929","Entire home/apt","129","2","26","2024-05-23","2.33","3","111","26",NULL
"927004952195238589","DoubleBed&Ownbath+Kitchenette","301948315","Alicia",NULL,"Annerley","-27.51162","153.03324","Private room","90","5","11","2024-05-01","1.11","5","70","11",NULL
"927085475427903401","Manly Waterfront Townhouse Modern 3 Bed/2.5 bath","140363","Mary",NULL,"Manly - Lota","-27.45129513290069","153.18598754206383","Entire home/apt","309","2","26","2024-06-03","3.05","2","210","26",NULL
"927153408393525391","Mountain View Apt w/ Infinity Pool, Gym & Car Park","78924442","Lee And Bella",NULL,"Fortitude Valley","-27.455783315101332","153.03086179018814","Entire home/apt","177","1","33","2024-05-22","2.97","228","354","33",NULL
"927335706113399910","Fancy location - Stylish space","523429755","Wayne",NULL,"Camp Hill","-27.49802424907222","153.07271949523687","Entire home/apt","172","1","28","2024-04-18","2.51","1","216","28",NULL
"927730990015550177","City Center 2BR Apt w/ Pool, Gym & Best Location","78924442","Lee And Bella",NULL,"Brisbane City","-27.47088551490717","153.02952006204117","Entire home/apt","162","1","38","2024-05-24","3.4","228","338","38",NULL
"927858597504494981","Montalto Apartment","523597631","Daniel",NULL,"Carina Heights","-27.496581967563905","153.088529580426","Entire home/apt","120","1","21","2024-06-05","4.44","1","32","21",NULL
"928381698990351862","Convenient and tidy","79934501","Steven",NULL,"Upper Mount Gravatt","-27.5582039","153.0888646","Private room","75","1","40","2024-06-04","3.7","1","80","40",NULL
"928417303631792564","Comfy Room with Private Bathroom & Toilet","163105961","Novita",NULL,"Mount Gravatt","-27.537935839146208","153.08351654559374","Private room","65","1","60","2024-05-21","5.47","1","116","60",NULL
"928617709601348060","Station House","134150040","Angela",NULL,"Manly - Lota","-27.459433129816816","153.1821030485476","Entire home/apt","180","3","16","2024-05-02","1.44","1","63","16",NULL
"928793403794347698","Spacious Modern 1b Apt. Huge Balcony Garden+free P","523844737","Guangyu",NULL,"South Brisbane","-27.4744272","153.015949","Entire home/apt","159","1","39","2024-05-25","3.62","5","46","39",NULL
"929202428045404305","CBD Apartment Near Stadium & River w/ Pool","78924442","Lee And Bella",NULL,"Brisbane City","-27.46649853937477","153.01691532542762","Entire home/apt","145","1","27","2024-05-21","2.53","228","353","27",NULL
"929306154783171360","Stay in New Farm","52237812","Geraldine",NULL,"New Farm","-27.470895933570485","153.0481776285907","Private room","77","1","20","2024-04-22","2.52","1","196","20",NULL
"930540873728970224","Close to Suncorp Stadium!","284150670","Lily",NULL,"Red Hill (Qld)","-27.456669585913215","153.00392786530438","Entire home/apt","246","2","19","2024-04-22","1.82","1","275","19",NULL
"930738297383248965","Family Gem - 4Bed/2Bath/3Car - House","12565858","Andrew",NULL,"Norman Park","-27.47781290471941","153.065233109355","Entire home/apt","483","7","9","2024-03-18","0.83","1","166","9",NULL
"931285060310035129","Inner city • 3 bedroom • 2.5 bath • Parking • WiFi","22547012","Abigail",NULL,"Carina","-27.493684040170617","153.0934062831807","Entire home/apt","269","3","17","2024-04-28","1.78","1","143","17",NULL
"931464330705373766","Infrared Sauna near city & more!","157884093","Nathan",NULL,"Auchenflower","-27.47727241915388","152.9909058708236","Entire home/apt","177","1","38","2024-05-11","4.63","1","166","38",NULL
"931598016787947934","Valley Centre Boutique 2Bed2bath Apt w/Pool + Car","97177917","Olivia",NULL,"Fortitude Valley","-27.455666743959785","153.0345682924338","Entire home/apt","193","1","58","2024-06-02","5.27","81","64","58",NULL
"931598071441837860","Decorated with love! 4BD Family House w/ Pool","97177917","Olivia",NULL,"Robertson","-27.56459495586867","153.06146342567453","Entire home/apt","348","2","18","2024-05-17","1.84","81","0","18",NULL
"932541158813478122","Brisbane Skyline View 2Beds River view Apt","106436754","Yorke",NULL,"South Brisbane","-27.47296","153.01631","Entire home/apt","278","1","30","2024-05-19","2.71","23","96","30",NULL
"932683665804511715","Handy + Stylish + Cosy Home","85771879","Marilyn",NULL,"Moorooka","-27.53245","153.02424","Private room","100","2","17","2024-05-26","1.61","1","207","17",NULL
"932836781317098569","A Luxury Escape! ~ 4 Bed House ~ Camp Hill","3384506","Andy",NULL,"Camp Hill","-27.489955133788627","153.0740651155531","Entire home/apt","635","14","29","2024-05-25","2.73","105","33","29",NULL
"932896432536745725","Spacious Central Comfort: 2BDR Apt, South Brisbane","482165605","Dan",NULL,"South Brisbane","-27.477943143341403","153.0152626378757","Entire home/apt","206","2","20","2024-05-16","1.83","13","147","20",NULL
"933618108169034860","Waverley House - Private Home in Tranquil Setting","52001811","Dylan",NULL,"Newstead - Bowen Hills","-27.4554416","153.0475415","Entire home/apt","406","3","20","2024-05-18","2.23","1","126","20",NULL
"933684781855581335","Charlotte Cottage -steps away from Suncorp Stadium","467932013","Sandra",NULL,"Paddington - Milton","-27.46039095788732","153.00987122425948","Entire home/apt","296","3","19","2024-04-14","1.82","2","326","19",NULL
"933852334208035233","Sky Patio 2B2B Chermside CitySkyline_Netflix+Wifi","415861078","Cora",NULL,"Chermside","-27.38699209289296","153.02786154852345","Entire home/apt","272","4","27","2024-06-06","3.13","2","62","27",NULL
"933870485804790980","Sharing apartment with me","438706203","Merry",NULL,"Clayfield","-27.427506124218336","153.05096492171288","Private room","214","1","0",NULL,NULL,"3","365","0",NULL
"934010548297159258","Brand New MasterRoom, AC, Walk-in closet, Ensuite","474103266","Gina",NULL,"Sunnybank","-27.5797976","153.0539114","Private room","84","2","31","2024-05-19","2.87","12","337","31",NULL
"934171654548122333","1930’s Queenslander Cottage","8598038","Bonnie & Toby",NULL,"Kelvin Grove - Herston","-27.45736884603559","153.01581785257287","Entire home/apt","350","2","6","2024-01-05","0.72","2","181","6",NULL
"934347416762530069","Noble House~2 Bed/1Bath/1Car~Parklands + Transport","3384506","Andy",NULL,"Wilston","-27.43852307350925","153.02244028670628","Entire home/apt","168","14","101","2024-05-20","1.62","105","83","22",NULL
"934382690185992348","Huge Stylish New York 3 bedder","32618384","LadyPenelope",NULL,"Newstead - Bowen Hills","-27.45501349307184","153.04368587362742","Entire home/apt","281","90","1","2024-02-10","0.25","1","270","1",NULL
"934388325457026228","Unit 4 - Manly Boutique Apartments","213070467","Sharyn",NULL,"Manly - Lota","-27.45589347623168","153.18666136431372","Entire home/apt","228","1","29","2024-05-21","3.58","5","217","29",NULL
"934497225609665431","Entire House in Chermside West 2-Beds Ultra-Clean","29001625","Prakash",NULL,"Chermside West","-27.3908371","153.0111643","Entire home/apt","200","1","5","2023-10-22","0.48","1","163","5",NULL
"934509791849294496","Stanley Terrace Cottage","1289226","Huyen",NULL,"Taringa","-27.48846","152.98096","Entire home/apt","250","2","34","2024-05-30","3.42","1","296","34",NULL
"934563362849941361","Your Brisbane family home away from home","19245636","Jacob And Marjolein",NULL,"Brookfield - Kenmore Hills","-27.50632104313113","152.93201266497672","Entire home/apt","200","2","4","2024-01-05","0.58","1","16","4",NULL
"934974992107627585","Groovy! ~ Central New Farm ~ Walk to CBD","3384506","Andy",NULL,"New Farm","-27.467505435561662","153.04031360365437","Entire home/apt","167","14","15","2024-05-20","1.47","105","56","15",NULL
"935248761191436746","Suite Snazzy","38029254","Mark",NULL,"Rocklea - Acacia Ridge","-27.557010567085296","153.0204974525386","Entire home/apt","72","5","4","2024-01-22","0.37","4","63","4",NULL
"935249441511536104","Home Away From Home + one complimentary dinner","389820851","Eddie & Chris",NULL,"Brighton (Qld)","-27.29114619581633","153.054519854486","Entire home/apt","150","2","14","2024-06-01","1.61","1","87","14",NULL
"935313775044137603","Twin King Single - 4K TV, NBN, Parking Gym & Spa","36099644","Norman",NULL,"Albion","-27.425808924885796","153.04253023861884","Private room","51","1","4","2024-02-20","0.45","7","357","4",NULL
"935421501356835143","Cosy 1-Bed Unit with a Gym, BBQ Area, Spa and Pool","279001183","MadeComfy",NULL,"Brisbane City","-27.46919088970654","153.02036867458438","Entire home/apt","165","3","6","2024-05-16","0.58","93","351","6",NULL
