"room_type","neighbourhood","avg_revenue"
"Entire home/apt","Red Hill (Qld)","433.6800000000000000"
"Private room","Red Hill (Qld)","89.6000000000000000"
"Entire home/apt","Riverhills","308.0000000000000000"
"Private room","Riverhills","55.0000000000000000"
"Entire home/apt","Robertson","248.3076923076923077"
"Private room","Robertson","73.5000000000000000"
"Entire home/apt","Rochedale - Burbank","381.8888888888888889"
"Private room","Rochedale - Burbank","101.5454545454545455"
"Entire home/apt","Rocklea - Acacia Ridge","132.8421052631578947"
"Private room","Rocklea - Acacia Ridge","60.7000000000000000"
"Entire home/apt","Runcorn","183.2000000000000000"
"Private room","Runcorn","60.0000000000000000"
"Entire home/apt","Salisbury - Nathan","145.4285714285714286"
"Private room","Salisbury - Nathan","78.6666666666666667"
"Entire home/apt","Sandgate - Shorncliffe","137.0000000000000000"
"Entire home/apt","Seventeen Mile Rocks - Sinnamon Park","161.0000000000000000"
"Private room","Seventeen Mile Rocks - Sinnamon Park","63.0000000000000000"
"Entire home/apt","Sherwood","185.0000000000000000"
"Private room","Sherwood","89.5000000000000000"
"Entire home/apt","South Brisbane","195.4320987654320988"
"Private room","South Brisbane","151.0769230769230769"
"Entire home/apt","Spring Hill","217.2268041237113402"
"Private room","Spring Hill","120.9615384615384615"
"Entire home/apt","St Lucia","165.1111111111111111"
"Private room","St Lucia","97.0000000000000000"
"Entire home/apt","Stafford","125.8571428571428571"
"Private room","Stafford","87.0000000000000000"
"Entire home/apt","Stafford Heights","500.0000000000000000"
"Private room","Stafford Heights","92.6666666666666667"
"Entire home/apt","Sunnybank","194.4375000000000000"
"Private room","Sunnybank","87.3181818181818182"
"Shared room","Sunnybank","52.0000000000000000"
"Entire home/apt","Sunnybank Hills","214.5454545454545455"
"Private room","Sunnybank Hills","82.5238095238095238"
"Entire home/apt","Taigum - Fitzgibbon","322.5000000000000000"
"Private room","Taigum - Fitzgibbon","57.0000000000000000"
"Entire home/apt","Taringa","245.3333333333333333"
"Private room","Taringa","87.5000000000000000"
"Entire home/apt","Tarragindi","240.8000000000000000"
"Private room","Tarragindi","176.3333333333333333"
"Entire home/apt","The Gap","364.2500000000000000"
"Private room","The Gap","147.5000000000000000"
"Entire home/apt","Tingalpa","170.2500000000000000"
"Private room","Tingalpa","69.6000000000000000"
"Entire home/apt","Toowong","172.0571428571428571"
"Private room","Toowong","89.7777777777777778"
"Entire home/apt","Upper Kedron - Ferny Grove","357.5000000000000000"
"Private room","Upper Kedron - Ferny Grove","110.0000000000000000"
"Entire home/apt","Upper Mount Gravatt","175.5555555555555556"
"Private room","Upper Mount Gravatt","78.8461538461538462"
"Private room","Wacol","37.0000000000000000"
"Entire home/apt","Wakerley","189.5000000000000000"
"Entire home/apt","Wavell Heights","142.8000000000000000"
"Private room","Wavell Heights","90.8000000000000000"
"Entire home/apt","West End","210.9459459459459459"
"Private room","West End","86.1739130434782609"
"Entire home/apt","Westlake","525.7500000000000000"
"Private room","Westlake","165.0000000000000000"
"Entire home/apt","Wilston","159.0000000000000000"
"Private room","Wilston","97.0000000000000000"
"Entire home/apt","Windsor","352.8333333333333333"
"Private room","Windsor","105.3571428571428571"
"Entire home/apt","Wishart","157.5000000000000000"
"Private room","Wishart","151.6666666666666667"
"Hotel room","Woolloongabba","327.0000000000000000"
"Entire home/apt","Woolloongabba","256.5172413793103448"
"Private room","Woolloongabba","92.6000000000000000"
"Entire home/apt","Wooloowin - Lutwyche","282.1052631578947368"
"Private room","Wooloowin - Lutwyche","72.5000000000000000"
"Entire home/apt","Wynnum","283.1111111111111111"
"Private room","Wynnum","86.7058823529411765"
"Entire home/apt","Wynnum West - Hemmant","353.3333333333333333"
"Private room","Wynnum West - Hemmant","58.0000000000000000"
"Entire home/apt","Yeronga","221.7058823529411765"
"Private room","Yeronga","86.4444444444444444"
"Entire home/apt","Zillmere","207.1666666666666667"
"Private room","Zillmere","76.3333333333333333"
