"id","host_id","host_name","bedrooms","bathrooms","price","availability_90","reviews_per_month"
"1106363981653281280","552844883","Angel","4","2","244.00","43","0.85"
"1136623107470710893","483537488","Angel","2","1","180.00","27",NULL
"580100184219529684","51963189","Angela","2","1","338.00","84","0.53"
"54076999","51963189","Angela","2","1","309.00","82","0.37"
"31224700","51963189","Angela","2","2","258.00","63","1"
"644542446667704428","13657485","Angela","3","2","220.00","55","0.09"
"993264778514151604","539957580","Angela","2","2","206.00","58","2.82"
"882224113725532894","189844977","Angela","2","1","184.00","39","2.38"
"928617709601348060","134150040","Angela","2","1","180.00","62","1.44"
"1098703253553887973","546593361","Angelina","3","2","245.00","87","0.7"
"936050631344958516","21048164","Angelina","2","1","242.00","52","0.4"
"1098696621954783329","546593361","Angelina","2","1","170.00","87",NULL
"781508864071514255","21048164","Angelina","2","1","159.00","52","1.86"
"1036490145955419739","546593361","Angelina","2","2.5","142.00","87","0.17"
"1062115002004280062","546593361","Angelina","2","1","139.00","73","0.33"
"1025136660340330983","546593361","Angelina","2","3","136.00","87","1.1"
"1073580754313849898","557710252","Angeline","2","2","173.00","44","5.4"
"1097434220573644054","557710252","Angeline","2","2","156.00","61","7.83"
"1011061482895341418","437754137","Anissa","3","2","400.00","86",NULL
"912594817796205681","437754137","Anissa","2","2.5","290.00","75","0.13"
"1121276535483326686","437754137","Anissa","2","1","228.00","29",NULL
"707591276227384199","437754137","Anissa","2","1","227.00","34","0.8"
"1134424116482531203","437754137","Anissa","2","2.5","224.00","89","1"
"18366399","437754137","Anissa","2","2.5","215.00","72","0.24"
"54022311","437754137","Anissa","3","1","187.00","82","0.95"
"16932687","51369897","Anita","5","2.5","282.00","22","0.22"
"23733495","51369897","Anita","3","2","270.00","48","0.32"
"9999610","51369897","Anita","4","2","259.00","74","0.14"
"10176515","51369897","Anita","3","2","236.00","57","0.29"
"684304006057092639","93552515","Anjeleen","2","1","350.00","85","0.63"
"760615526692117136","98750970","Ann","2","2","245.00","29","2.26"
"46741945","98750970","Ann","2","2","237.00","25","2.07"
"50232680","161432","Ann","2","1","220.00","36","0.53"
"37380","161432","Ann","2","1","220.00","51","0.34"
"977995168046734682","260087918","Anna","2","2","275.00","81",NULL
"688526681289049414","372614663","Anna  Q","3","2.5","225.00","41","0.89"
"1169973934109794697","116303336","Anne","4","2","304.00","80",NULL
"33276573","33074125","Anne-Maree","5","2","225.00","38","0.93"
"730482615872591985","35836041","Annette","3","2","449.00","73","0.8"
"1095099723316591072","35836041","Annette","2","1","358.00","76","1.03"
"22722452","13515201","Annie","2","1","302.00","26","2.79"
"29737727","119554745","Annies Guest House","15","4","800.00","89","0.13"
