"listing_id","total_days","booked_days","occupancy_rate"
"832006871705166000","365","278","0.7616438356164383"
"45470657","365","197","0.5397260273972603"
"767557933760032000","365","322","0.8821917808219178"
"593730348440132000","365","293","0.8027397260273973"
"23948629","365","63","0.1726027397260274"
"832182381913092000","365","301","0.8246575342465754"
"656260739292789000","365","288","0.7890410958904109"
"701949334966347000","365","176","0.4821917808219178"
"773729553882564000","365","80","0.2191780821917808"
"46030686","365","319","0.873972602739726"
"664951361446289000","365","51","0.13972602739726028"
"42983569","365","365","1"
"21153395","365","258","0.7068493150684931"
"827728772500673000","365","322","0.8821917808219178"
"53381046","365","274","0.7506849315068493"
"43460646","365","143","0.3917808219178082"
"8506478","365","365","1"
"833061417079004000","365","297","0.8136986301369863"
"796540616046019000","365","122","0.33424657534246577"
"48333257","365","280","0.7671232876712328"
"731297403565282000","365","190","0.5205479452054794"
"31200254","365","307","0.8410958904109589"
"28054174","365","365","1"
"39304487","365","247","0.6767123287671233"
"53440865","365","236","0.6465753424657534"
"40038856","365","156","0.4273972602739726"
"683715409831322000","365","214","0.5863013698630137"
"833140556689792000","365","224","0.6136986301369863"
"34688008","365","333","0.9123287671232877"
"39611102","365","1","0.0027397260273972603"
"938653","365","365","1"
"27922743","365","356","0.9753424657534246"
"561046402623095000","365","288","0.7890410958904109"
"782317994868635000","365","83","0.2273972602739726"
"795940070287568000","365","344","0.9424657534246575"
"51004709","365","310","0.8493150684931506"
"861119423108230000","365","213","0.5835616438356165"
"48272880","365","349","0.9561643835616438"
"34515265","365","286","0.7835616438356164"
"43036113","365","25","0.0684931506849315"
"852709245741101000","365","241","0.6602739726027397"
"51563084","365","145","0.3972602739726027"
"50569948","365","314","0.8602739726027397"
"11120987","365","319","0.873972602739726"
"887304644831933000","365","1","0.0027397260273972603"
"808380576445150000","365","299","0.8191780821917808"
"15554700","365","63","0.1726027397260274"
"692907275379713000","365","159","0.43561643835616437"
"45517184","365","1","0.0027397260273972603"
"20788952","365","255","0.6986301369863014"
"21869743","365","239","0.6547945205479452"
"17641736","365","161","0.4410958904109589"
"43584924","365","309","0.8465753424657534"
"33885199","365","198","0.5424657534246575"
"805645428745904000","365","84","0.23013698630136986"
"619042107749801000","365","51","0.13972602739726028"
"747388046630314000","365","220","0.6027397260273972"
"874090836986517000","365","54","0.14794520547945206"
"745265757354944000","365","51","0.13972602739726028"
"35205186","365","182","0.4986301369863014"
"26611085","365","340","0.9315068493150684"
"40514307","365","365","1"
"53772299","365","302","0.8273972602739726"
"695258210093372000","365","25","0.0684931506849315"
"46160447","365","190","0.5205479452054794"
"41896766","365","174","0.4767123287671233"
"4797873","365","66","0.18082191780821918"
"781596993040607000","365","180","0.4931506849315068"
"45350953","365","237","0.6493150684931507"
"54209663","365","276","0.7561643835616438"
"884536218939430000","365","70","0.1917808219178082"
"851592691179899000","365","32","0.08767123287671233"
"596561992728304000","365","361","0.989041095890411"
"16976264","365","345","0.9452054794520548"
"49374702","365","201","0.5506849315068493"
"52844189","365","2","0.005479452054794521"
"17323283","365","202","0.5534246575342465"
"1607503","365","288","0.7890410958904109"
"13102308","365","327","0.8958904109589041"
"711868762728761000","365","290","0.7945205479452054"
"21707427","365","64","0.17534246575342466"
"30233934","365","10","0.0273972602739726"
"869819058947369000","365","67","0.18356164383561643"
"8527258","365","123","0.336986301369863"
"51334345","365","157","0.4301369863013699"
"52891087","365","7","0.019178082191780823"
"53725685","365","21","0.057534246575342465"
"792199046693418000","365","283","0.7753424657534247"
"13064069","365","254","0.6958904109589041"
"36819524","365","188","0.5150684931506849"
"53153076","365","147","0.40273972602739727"
"568978482036691000","365","206","0.5643835616438356"
"16300692","365","178","0.4876712328767123"
"565421163834537000","365","110","0.3013698630136986"
"809024031638047000","365","365","1"
"865722779737500000","365","365","1"
"858305558282537000","365","280","0.7671232876712328"
"19074377","365","293","0.8027397260273973"
"687799208391226000","365","0","0"
"18574429","365","219","0.6"
"20712753","365","194","0.5315068493150685"
"834948067209728000","365","203","0.5561643835616439"
"579085281550156000","365","211","0.5780821917808219"
"39611455","365","17","0.04657534246575343"
"13455112","365","51","0.13972602739726028"
"53117371","365","49","0.13424657534246576"
"839453187666576000","365","289","0.7917808219178082"
"48911072","365","41","0.11232876712328767"
"48472526","365","35","0.0958904109589041"
"811737222275787000","365","196","0.536986301369863"
"32962343","365","131","0.3589041095890411"
"796628026938431000","365","191","0.5232876712328767"
"18754624","365","105","0.2876712328767123"
"835753001969931000","365","89","0.24383561643835616"
"887611673939184000","365","13","0.03561643835616438"
"751698190135324000","365","1","0.0027397260273972603"
"688118029469353000","365","33","0.09041095890410959"
"49863382","365","46","0.12602739726027398"
"879192502379238000","365","253","0.6931506849315069"
"45855533","365","221","0.6054794520547945"
"53907263","365","138","0.3780821917808219"
"40428878","365","27","0.07397260273972603"
"580100184219529000","365","6","0.01643835616438356"
"585294876629985000","365","20","0.0547945205479452"
"54203505","365","279","0.7643835616438356"
"696633010973221000","365","365","1"
"22637221","365","283","0.7753424657534247"
"706312516429397000","365","19","0.052054794520547946"
"832087377470627000","365","265","0.726027397260274"
"17851066","365","45","0.1232876712328767"
"40577451","365","175","0.4794520547945205"
"49181424","365","365","1"
"758023440447253000","365","173","0.473972602739726"
"859014622806592000","365","317","0.8684931506849315"
"12860658","365","223","0.6109589041095891"
"46420637","365","325","0.8904109589041096"
"8506401","365","329","0.9013698630136986"
"839602316884751000","365","42","0.11506849315068493"
"52174145","365","46","0.12602739726027398"
"51645065","365","4","0.010958904109589041"
"40353732","365","136","0.3726027397260274"
"17111056","365","297","0.8136986301369863"
"53883546","365","127","0.34794520547945207"
"2194081","365","296","0.810958904109589"
"20751393","365","193","0.5287671232876713"
"34343251","365","3","0.00821917808219178"
"43077018","365","10","0.0273972602739726"
"43730411","365","220","0.6027397260273972"
"641140","365","52","0.14246575342465753"
"863973179499443000","365","17","0.04657534246575343"
"10795399","365","0","0"
"17031755","365","293","0.8027397260273973"
"51412738","365","96","0.26301369863013696"
"15634867","365","68","0.1863013698630137"
"38883808","365","155","0.4246575342465753"
"862549312108916000","365","0","0"
"42230959","365","25","0.0684931506849315"
"50160219","365","2","0.005479452054794521"
"613625644931762000","365","69","0.18904109589041096"
"53453844","365","54","0.14794520547945206"
"724588624311296000","365","216","0.5917808219178082"
"26642408","365","365","1"
"40596832","365","283","0.7753424657534247"
"12496950","365","305","0.8356164383561644"
"669810099936353000","365","240","0.6575342465753424"
"28647811","365","208","0.5698630136986301"
"18394825","365","208","0.5698630136986301"
"761823220432016000","365","176","0.4821917808219178"
"871776540571174000","365","1","0.0027397260273972603"
"18742669","365","247","0.6767123287671233"
