"listing_id","total_days","booked_days","occupancy_rate","average_rating","number_of_reviews"
"52416918","365","1","0.0027397260273972603","5","1"
"16635827","365","359","0.9835616438356164","5","1"
"50299334","365","2","0.005479452054794521","5","1"
"25381975","365","275","0.7534246575342466","5","1"
"4080734","365","177","0.4849315068493151","5","1"
"44968409","365","220","0.6027397260273972","5","4"
"30095993","365","277","0.7589041095890411","5","1"
"30719945","365","112","0.30684931506849317","5","1"
"9760246","365","185","0.5068493150684932","4.75","4"
"50013393","365","197","0.5397260273972603","4.666666666666667","3"
"12496864","365","275","0.7534246575342466","4.666666666666667","3"
"33045701","365","202","0.5534246575342465","4.666666666666667","3"
"52270597","365","331","0.9068493150684932","4.625","8"
"14901302","365","22","0.06027397260273973","4.625","8"
"43723828","365","163","0.4465753424657534","4.6","5"
"10319607","365","339","0.9287671232876712","4.571428571428571","7"
"25983606","365","115","0.3150684931506849","4.545454545454546","11"
"13064069","365","254","0.6958904109589041","4.545454545454546","11"
"53961657","365","239","0.6547945205479452","4.517241379310345","29"
"12411093","365","55","0.1506849315068493","4.5","8"
"39288138","365","18","0.049315068493150684","4.5","2"
"40873536","365","9","0.024657534246575342","4.5","2"
"45415137","365","5","0.0136986301369863","4.5","2"
"18574429","365","219","0.6","4.5","8"
"45975844","365","18","0.049315068493150684","4.5","8"
"38034693","365","365","1","4.5","4"
"44668675","365","163","0.4465753424657534","4.5","2"
"44668309","365","163","0.4465753424657534","4.5","8"
"17225631","365","92","0.25205479452054796","4.5","2"
"17831880","365","151","0.4136986301369863","4.5","14"
"53883546","365","127","0.34794520547945207","4.470588235294118","17"
"50412078","365","41","0.11232876712328767","4.458333333333333","24"
"17755321","365","103","0.2821917808219178","4.454545454545454","11"
"43838828","365","1","0.0027397260273972603","4.444444444444445","9"
"49743649","365","201","0.5506849315068493","4.44","25"
"11408052","365","309","0.8465753424657534","4.428571428571429","7"
"16086892","365","37","0.10136986301369863","4.428571428571429","7"
"41823474","365","115","0.3150684931506849","4.4","5"
"40353702","365","136","0.3726027397260274","4.4","15"
"33319324","365","7","0.019178082191780823","4.4","5"
"17926115","365","164","0.44931506849315067","4.388888888888889","18"
"52954661","365","184","0.5041095890410959","4.388888888888889","18"
"42343710","365","187","0.5123287671232877","4.384615384615385","13"
"44669761","365","168","0.4602739726027397","4.375","8"
"46420637","365","325","0.8904109589041096","4.375","8"
"40353732","365","136","0.3726027397260274","4.375","8"
"43531625","365","166","0.4547945205479452","4.372093023255814","43"
"18163088","365","115","0.3150684931506849","4.368421052631579","19"
"15860236","365","143","0.3917808219178082","4.364963503649635","137"
"28345606","365","190","0.5205479452054794","4.357142857142857","14"
"45058760","365","359","0.9835616438356164","4.357142857142857","14"
"28474219","365","271","0.7424657534246575","4.354166666666667","96"
"29669330","365","6","0.01643835616438356","4.35","120"
"42492046","365","30","0.0821917808219178","4.344827586206897","29"
"43114029","365","276","0.7561643835616438","4.333333333333333","3"
"11639606","365","16","0.043835616438356165","4.333333333333333","9"
"32697587","365","35","0.0958904109589041","4.333333333333333","3"
"44182588","365","298","0.8164383561643835","4.333333333333333","3"
"21045994","365","208","0.5698630136986301","4.333333333333333","21"
"41439400","365","190","0.5205479452054794","4.333333333333333","6"
"41545661","365","191","0.5232876712328767","4.333333333333333","3"
"33276722","365","344","0.9424657534246575","4.333333333333333","36"
"32089066","365","274","0.7506849315068493","4.333333333333333","3"
"50630048","365","10","0.0273972602739726","4.333333333333333","9"
"24971967","365","346","0.947945205479452","4.333333333333333","12"
"38270548","365","191","0.5232876712328767","4.333333333333333","3"
"24123044","365","357","0.9780821917808219","4.333333333333333","3"
"48036239","365","336","0.9205479452054794","4.333333333333333","6"
"49002017","365","198","0.5424657534246575","4.333333333333333","3"
"6057106","365","102","0.27945205479452057","4.326086956521739","46"
"53453844","365","54","0.14794520547945206","4.32258064516129","31"
"53664833","365","149","0.40821917808219177","4.32","25"
"50256456","365","24","0.06575342465753424","4.32","75"
"27922743","365","356","0.9753424657534246","4.315789473684211","19"
"36456498","365","174","0.4767123287671233","4.313364055299539","217"
"45993857","365","241","0.6602739726027397","4.3125","16"
"40065191","365","1","0.0027397260273972603","4.3090909090909095","55"
"28084856","365","22","0.06027397260273973","4.30827067669173","133"
"31128817","365","100","0.273972602739726","4.3076923076923075","26"
"41886741","365","42","0.11506849315068493","4.303921568627451","204"
"49617074","365","346","0.947945205479452","4.3","10"
"49925052","365","184","0.5041095890410959","4.3","20"
"15688517","365","280","0.7671232876712328","4.294117647058823","153"
"33619981","365","1","0.0027397260273972603","4.294117647058823","17"
"46030686","365","319","0.873972602739726","4.2924528301886795","106"
"44667649","365","164","0.44931506849315067","4.291666666666667","96"
"38435815","365","322","0.8821917808219178","4.290322580645161","93"
"13163383","365","18","0.049315068493150684","4.290322580645161","31"
"50488978","365","86","0.2356164383561644","4.290076335877862","131"
"50254110","365","102","0.27945205479452057","4.288659793814433","97"
"41152383","365","126","0.3452054794520548","4.287804878048781","205"
"30234792","365","42","0.11506849315068493","4.287671232876712","73"
"43055325","365","168","0.4602739726027397","4.287234042553192","94"
"20751393","365","193","0.5287671232876713","4.285714285714286","7"
"43089749","365","19","0.052054794520547946","4.285714285714286","7"
"48962316","365","124","0.33972602739726027","4.285714285714286","35"
"9417386","365","279","0.7643835616438356","4.285714285714286","21"
"18856775","365","219","0.6","4.285714285714286","7"
"8507876","365","1","0.0027397260273972603","4.285714285714286","14"
"25812868","365","42","0.11506849315068493","4.285714285714286","7"
"22872278","365","136","0.3726027397260274","4.285714285714286","7"
"26505560","365","22","0.06027397260273973","4.281879194630872","149"
"35205186","365","182","0.4986301369863014","4.28140703517588","199"
"18490034","365","105","0.2876712328767123","4.28","25"
"40428985","365","18","0.049315068493150684","4.28","50"
"43738122","365","228","0.6246575342465753","4.279411764705882","204"
"19738421","365","185","0.5068493150684932","4.27906976744186","43"
"50400745","365","20","0.0547945205479452","4.277777777777778","126"
"42780793","365","291","0.7972602739726027","4.277777777777778","18"
"37157757","365","306","0.8383561643835616","4.277777777777778","54"
"29399189","365","190","0.5205479452054794","4.277620396600566","353"
"29318422","365","7","0.019178082191780823","4.276785714285714","112"
"43239267","365","338","0.9260273972602739","4.275862068965517","58"
"31727477","365","280","0.7671232876712328","4.2727272727272725","55"
"12436472","365","198","0.5424657534246575","4.2727272727272725","418"
"49743524","365","191","0.5232876712328767","4.2727272727272725","33"
"19387713","365","115","0.3150684931506849","4.2727272727272725","11"
"33464461","365","197","0.5397260273972603","4.2712765957446805","188"
"40764683","365","10","0.0273972602739726","4.271186440677966","295"
"10178775","365","180","0.4931506849315068","4.27027027027027","37"
"39611455","365","17","0.04657534246575343","4.2684824902723735","257"
"34007702","365","184","0.5041095890410959","4.265822784810126","237"
"31718130","365","295","0.8082191780821918","4.26530612244898","49"
"48333257","365","280","0.7671232876712328","4.26530612244898","49"
"50216696","365","319","0.873972602739726","4.264705882352941","34"
"39784149","365","270","0.7397260273972602","4.264","125"
"16277121","365","43","0.1178082191780822","4.2633744855967075","243"
"35896651","365","22","0.06027397260273973","4.263345195729538","281"
"40014226","365","136","0.3726027397260274","4.2631578947368425","19"
"35204624","365","109","0.29863013698630136","4.2631578947368425","19"
"18899862","365","347","0.9506849315068493","4.2631578947368425","95"
"53664599","365","329","0.9013698630136986","4.260869565217392","92"
"49896743","365","313","0.8575342465753425","4.260869565217392","23"
"34514917","365","219","0.6","4.260869565217392","23"
"28966938","365","191","0.5232876712328767","4.260204081632653","392"
"39676574","365","19","0.052054794520547946","4.2592592592592595","27"
"32962343","365","131","0.3589041095890411","4.2592592592592595","81"
"53501903","365","80","0.2191780821917808","4.258064516129032","93"
"46841255","365","113","0.3095890410958904","4.25748502994012","167"
"17031755","365","293","0.8027397260273973","4.25625","160"
"32618419","365","41","0.11232876712328767","4.2556390977443606","133"
"46450654","365","53","0.14520547945205478","4.255506607929515","227"
"8830243","365","62","0.16986301369863013","4.254901960784314","52"
"30300134","365","206","0.5643835616438356","4.254019292604502","311"
"28625041","365","217","0.5945205479452055","4.253846153846154","130"
"43771009","365","323","0.8849315068493151","4.251141552511416","219"
"39307503","365","21","0.057534246575342465","4.2508038585209","311"
"21059370","365","365","1","4.25","12"
"50381763","365","187","0.5123287671232877","4.25","4"
"43986269","365","159","0.43561643835616437","4.25","8"
"37916350","365","275","0.7534246575342466","4.25","4"
"38497668","365","355","0.9726027397260274","4.25","4"
"39304487","365","247","0.6767123287671233","4.25","4"
"40246901","365","19","0.052054794520547946","4.25","284"
"5021803","365","135","0.3698630136986301","4.25","12"
"30178698","365","12","0.03287671232876712","4.25","8"
"44182433","365","298","0.8164383561643835","4.25","4"
"2587898","365","3","0.00821917808219178","4.25","4"
"21756243","365","149","0.40821917808219177","4.25","8"
"1971015","365","99","0.27123287671232876","4.25","8"
"45517184","365","1","0.0027397260273972603","4.25","8"
"25706538","365","252","0.6904109589041096","4.2492492492492495","333"
"13348043","365","278","0.7616438356164383","4.246031746031746","127"
"11739321","365","44","0.12054794520547946","4.245283018867925","213"
"35012111","365","8","0.021917808219178082","4.245283018867925","53"
"48302490","365","211","0.5780821917808219","4.245283018867925","53"
"42300817","365","284","0.7780821917808219","4.244755244755245","143"
"48291924","365","2","0.005479452054794521","4.24468085106383","94"
"41565979","365","23","0.06301369863013699","4.2434456928838955","267"
"53712269","365","209","0.5726027397260274","4.243243243243243","37"
"37785415","365","184","0.5041095890410959","4.242424242424242","33"
"35652896","365","206","0.5643835616438356","4.242424242424242","132"
"41676070","365","209","0.5726027397260274","4.241610738255034","149"
"41961119","365","195","0.5342465753424658","4.240384615384615","104"
"51334345","365","157","0.4301369863013699","4.24","25"
"23473437","365","252","0.6904109589041096","4.24","100"
"50120020","365","295","0.8082191780821918","4.24","50"
"18951521","365","219","0.6","4.24","25"
"53469246","365","53","0.14520547945205478","4.24","25"
"52385704","365","111","0.3041095890410959","4.238095238095238","168"
"52723286","365","189","0.5178082191780822","4.238095238095238","21"
"35231478","365","139","0.38082191780821917","4.237113402061856","97"
"24365052","365","9","0.024657534246575342","4.2368421052631575","38"
"48425387","365","28","0.07671232876712329","4.2368421052631575","228"
"39240700","365","301","0.8246575342465754","4.236768802228412","359"
"39177215","365","123","0.336986301369863","4.236363636363636","275"
"25680723","365","207","0.5671232876712329","4.235294117647059","17"
"53954274","365","146","0.4","4.235294117647059","34"
"22513313","365","309","0.8465753424657534","4.235135135135135","740"
"38203032","365","8","0.021917808219178082","4.234726688102894","311"
"49550927","365","6","0.01643835616438356","4.23463687150838","179"
"41627989","365","271","0.7424657534246575","4.23404255319149","47"
"49626394","365","137","0.37534246575342467","4.233766233766234","77"
"28417051","365","335","0.9178082191780822","4.233062330623306","369"
"38806727","365","342","0.936986301369863","4.232876712328767","219"
"49551430","365","17","0.04657534246575343","4.232704402515723","159"
"53153076","365","147","0.40273972602739727","4.232558139534884","43"
"51587032","365","152","0.41643835616438357","4.232558139534884","43"
"47168108","365","302","0.8273972602739726","4.232","125"
"15554700","365","63","0.1726027397260274","4.2318181818181815","220"
"40408361","365","27","0.07397260273972603","4.2317073170731705","82"
"54102084","365","43","0.1178082191780822","4.230769230769231","26"
"37730578","365","93","0.2547945205479452","4.230769230769231","169"
"47971953","365","38","0.10410958904109589","4.230769230769231","13"
"42461835","365","184","0.5041095890410959","4.230769230769231","26"
"14267606","365","14","0.038356164383561646","4.230769230769231","39"
"43817671","365","300","0.821917808219178","4.230769230769231","13"
"25680184","365","28","0.07671232876712329","4.230769230769231","13"
"21728867","365","208","0.5698630136986301","4.230769230769231","13"
"39115957","365","32","0.08767123287671233","4.230088495575221","226"
"39378271","365","166","0.4547945205479452","4.229681978798586","283"
"50569948","365","314","0.8602739726027397","4.229333333333333","375"
"53278913","365","299","0.8191780821917808","4.229166666666667","48"
"24546973","365","11","0.030136986301369864","4.229166666666667","48"
"38688086","365","13","0.03561643835616438","4.228882833787466","367"
"48681445","365","18","0.049315068493150684","4.228758169934641","153"
"35551801","365","240","0.6575342465753424","4.228260869565218","184"
"48272880","365","349","0.9561643835616438","4.227722772277228","101"
"33623798","365","288","0.7890410958904109","4.2272727272727275","66"
"51950744","365","238","0.6520547945205479","4.2272727272727275","44"
"43820385","365","267","0.7315068493150685","4.2272727272727275","44"
"30162245","365","194","0.5315068493150685","4.226415094339623","53"
"40765792","365","15","0.0410958904109589","4.225913621262459","301"
"23060315","365","178","0.4876712328767123","4.225806451612903","62"
