"neighbourhood","room_type","avg_occupancy_rate"
"Jindalee - Mount Ommaney","Private room","0.59452054794520547946"
"Jindalee - Mount Ommaney","Entire home/apt","0.53744292237442922375"
"Kangaroo Point","Entire home/apt","0.49634703196347031964"
"Kangaroo Point","Private room","0.45366639806607574537"
"Karana Downs","Entire home/apt","0.40228310502283105023"
"Karana Downs","Private room","0.39726027397260273973"
"Kedron - Gordon Park","Private room","0.59931506849315068493"
"Kedron - Gordon Park","Entire home/apt","0.47945205479452054795"
"Kelvin Grove - Herston","Private room","0.72431506849315068493"
"Kelvin Grove - Herston","Entire home/apt","0.48086342880863428809"
"Kenmore","Private room","0.74520547945205479452"
"Kenmore","Entire home/apt","0.35367372353673723537"
"Keperra","Entire home/apt","0.31506849315068493151"
"Kuraby","Private room","0.59360730593607305936"
"Kuraby","Entire home/apt","0.53424657534246575342"
"Macgregor (Qld)","Private room","0.51780821917808219178"
"Macgregor (Qld)","Entire home/apt","0.30000000000000000000"
"Manly - Lota","Private room","0.75068493150684931507"
"Manly - Lota","Entire home/apt","0.52743067156698964250"
"Manly West","Entire home/apt","0.50913242009132420091"
"Mansfield (Qld)","Private room","0.45616438356164383562"
"Mansfield (Qld)","Entire home/apt","0.29726027397260273973"
"McDowall","Entire home/apt","0.46757990867579908676"
"Middle Park - Jamboree Heights","Private room","0.53150684931506849315"
"Mitchelton","Private room","0.76027397260273972603"
"Mitchelton","Entire home/apt","0.65022831050228310502"
"Moorooka","Private room","0.62328767123287671233"
"Moorooka","Entire home/apt","0.50979978925184404636"
"Moreton Island","Private room","0.58356164383561643836"
"Moreton Island","Entire home/apt","0.36584474885844748859"
"Morningside - Seven Hills","Entire home/apt","0.61604696673189823875"
"Morningside - Seven Hills","Private room","0.55616438356164383561"
"Mount Gravatt","Entire home/apt","0.53302891933028919330"
"Mount Gravatt","Private room","0.48675799086757990868"
"Mount Gravatt","Shared room","0.26027397260273972603"
"Murarrie","Private room","0.83068493150684931507"
"Murarrie","Entire home/apt","0.68904109589041095891"
"New Farm","Entire home/apt","0.52239911144020733062"
"New Farm","Private room","0.48542963885429638854"
"Newmarket","Private room","0.48173515981735159818"
"Newmarket","Entire home/apt","0.46347031963470319635"
"Newstead - Bowen Hills","Private room","0.55799086757990867580"
"Newstead - Bowen Hills","Entire home/apt","0.45288188162315843887"
"Norman Park","Private room","0.59890410958904109589"
"Norman Park","Entire home/apt","0.44712328767123287671"
"Northgate - Virginia","Private room","0.62739726027397260274"
"Northgate - Virginia","Entire home/apt","0.54018264840182648402"
"Nudgee - Banyo","Entire home/apt","0.55541718555417185554"
"Nudgee - Banyo","Private room","0.44474885844748858448"
"Nundah","Private room","0.60753424657534246576"
"Nundah","Entire home/apt","0.50757029560201874549"
"Oxley (Qld)","Private room","0.75342465753424657534"
"Oxley (Qld)","Entire home/apt","0.56506849315068493151"
"Paddington - Milton","Hotel room","0.70684931506849315068"
"Paddington - Milton","Entire home/apt","0.56749688667496886675"
"Paddington - Milton","Private room","0.48493150684931506849"
"Pallara - Willawong","Entire home/apt","0.52420091324200913242"
"Pallara - Willawong","Private room","0.42465753424657534247"
"Parkinson - Drewvale","Entire home/apt","0.62136986301369863014"
"Parkinson - Drewvale","Private room","0.42328767123287671233"
"Pinjarra Hills - Pullenvale","Entire home/apt","0.54009132420091324201"
"Pinjarra Hills - Pullenvale","Private room","0.14520547945205479452"
"Red Hill (Qld)","Private room","0.52657534246575342466"
"Red Hill (Qld)","Entire home/apt","0.50400421496311907271"
"Riverhills","Private room","0.55799086757990867580"
"Riverhills","Entire home/apt","0.20821917808219178082"
"Robertson","Entire home/apt","0.75995785036880927292"
"Robertson","Private room","0.56780821917808219178"
"Rochedale - Burbank","Entire home/apt","0.68538812785388127854"
"Rochedale - Burbank","Private room","0.66575342465753424658"
"Rocklea - Acacia Ridge","Entire home/apt","0.57846856340007024938"
"Rocklea - Acacia Ridge","Private room","0.32027397260273972603"
"Runcorn","Entire home/apt","0.52000000000000000000"
"Runcorn","Private room","0.44366438356164383562"
"Salisbury - Nathan","Private room","0.55410958904109589041"
"Salisbury - Nathan","Entire home/apt","0.45993150684931506849"
"Sandgate - Shorncliffe","Entire home/apt","0.62904109589041095890"
"Seventeen Mile Rocks - Sinnamon Park","Private room","0.53493150684931506849"
"Seventeen Mile Rocks - Sinnamon Park","Entire home/apt","0.46164383561643835617"
"Sherwood","Private room","0.66712328767123287672"
"Sherwood","Entire home/apt","0.27475538160469667319"
"South Brisbane","Entire home/apt","0.58866985930133273936"
"South Brisbane","Private room","0.55911485774499473130"
"Spring Hill","Private room","0.58737769080234833660"
"Spring Hill","Entire home/apt","0.55038947085683588504"
"St Lucia","Entire home/apt","0.67762557077625570776"
"St Lucia","Private room","0.44219178082191780822"
"Stafford","Entire home/apt","0.55655577299412915851"
"Stafford","Private room","0.50684931506849315069"
"Stafford Heights","Private room","0.47351598173515981735"
"Stafford Heights","Entire home/apt","0.27945205479452054795"
"Sunnybank","Private room","0.59677321156773211568"
"Sunnybank","Entire home/apt","0.53165104542177361211"
"Sunnybank","Shared room","0.11232876712328767123"
"Sunnybank Hills","Entire home/apt","0.76612702366127023661"
"Sunnybank Hills","Private room","0.40389884088514225501"
"Taigum - Fitzgibbon","Private room","0.41917808219178082192"
"Taigum - Fitzgibbon","Entire home/apt","0.35251141552511415525"
"Taringa","Private room","0.90547945205479452055"
"Taringa","Entire home/apt","0.44510010537407797682"
"Tarragindi","Entire home/apt","0.59543378995433789955"
"Tarragindi","Private room","0.25684931506849315069"
"The Gap","Entire home/apt","0.56849315068493150685"
"The Gap","Private room","0.51671232876712328767"
"Tingalpa","Entire home/apt","0.65958904109589041096"
"Tingalpa","Private room","0.47853881278538812786"
"Toowong","Private room","0.64444444444444444445"
"Toowong","Entire home/apt","0.54246575342465753425"
"Upper Kedron - Ferny Grove","Entire home/apt","0.47739726027397260274"
"Upper Kedron - Ferny Grove","Private room","0.25479452054794520548"
"Upper Mount Gravatt","Private room","0.53855185909980430529"
"Upper Mount Gravatt","Entire home/apt","0.52004981320049813201"
"Wacol","Private room","0.21095890410958904110"
"Wakerley","Entire home/apt","0.58082191780821917808"
"Wavell Heights","Entire home/apt","0.31671232876712328767"
"Wavell Heights","Private room","0.30563165905631659056"
"West End","Private room","0.68059360730593607306"
"West End","Entire home/apt","0.63128470936690114772"
"Westlake","Entire home/apt","0.62397260273972602740"
"Westlake","Private room","0.38630136986301369863"
"Wilston","Private room","0.54383561643835616439"
"Wilston","Entire home/apt","0.54041095890410958904"
"Windsor","Private room","0.57573385518590998043"
"Windsor","Entire home/apt","0.54604847207586933614"
"Wishart","Entire home/apt","0.66712328767123287672"
"Wishart","Private room","0.57899543378995433790"
"Woolloongabba","Private room","0.73095890410958904110"
"Woolloongabba","Hotel room","0.50410958904109589041"
"Woolloongabba","Entire home/apt","0.47633872976338729763"
